City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Xambioa,BR,2021-09-21 16:13:42,-6.4111,-48.5364,104.34,21,38,4.81
68,Kapaa,US,2021-09-21 16:13:42,22.0752,-159.319,71.47,98,16,13.38
69,Myitkyina,MM,2021-09-21 16:13:43,25.3833,97.4,74.14,98,100,0.72
70,Butaritari,KI,2021-09-21 16:13:43,3.0707,172.7902,82.62,70,92,16.75
71,Port Hardy,CA,2021-09-21 16:13:43,50.6996,-127.4199,53.96,92,100,11.3
72,Isangel,VU,2021-09-21 16:13:44,-19.55,169.2667,71.06,79,33,4.72
73,Brylivka,UA,2021-09-21 16:13:44,46.4248,33.1472,54.68,46,97,13.78
74,Ananas,HT,2021-09-21 16:13:44,19.2466,-71.9557,88.14,48,9,7.36
75,Waingapu,ID,2021-09-21 16:13:45,-9.6567,120.2641,78.55,79,95,9.1
76,Asau,RO,2021-09-21 16:13:45,46.4333,26.4,55.76,62,50,3.83
77,Sao Miguel,BR,2021-09-21 16:13:45,-5.4667,-35.3667,86.65,51,52,16.55
78,Kishanpur,IN,2021-09-21 16:13:46,25.65,81.0167,84.67,72,70,6.8
79,Yuli,NG,2021-09-21 16:13:46,9.6989,10.2744,84.92,67,40,7.83
80,Angoche,MZ,2021-09-21 16:13:46,-16.2325,39.9086,75.9,73,3,13.13
81,Verkhnevilyuysk,RU,2021-09-21 16:13:47,63.4453,120.3167,37.04,84,97,6.55
82,Puerto Maldonado,PE,2021-09-21 16:13:47,-12.6,-69.1833,90.0,58,0,5.75
83,Punta Arenas,CL,2021-09-21 16:12:04,-53.15,-70.9167,57.31,58,0,20.71
84,Batken,KG,2021-09-21 16:13:47,39.8333,71.0,53.98,32,0,1.32
85,Dunedin,NZ,2021-09-21 16:13:48,-45.8742,170.5036,44.8,71,8,1.99
86,Dholka,IN,2021-09-21 16:13:48,22.7167,72.4667,81.75,82,77,8.5
87,Khanpur,PK,2021-09-21 16:13:48,28.6453,70.6567,93.9,40,64,12.01
88,Maltahohe,NA,2021-09-21 16:13:49,-24.8333,16.9833,78.64,9,0,8.21
89,Bredasdorp,ZA,2021-09-21 16:13:49,-34.5322,20.0403,60.28,66,34,9.4
90,Nikolskoye,RU,2021-09-21 16:13:50,59.7035,30.7861,47.01,80,100,7.9
91,Lamu,KE,2021-09-21 16:13:50,-2.2717,40.902,76.53,83,20,11.56
92,Hami,CN,2021-09-21 16:13:50,42.8,93.45,72.57,25,22,5.86
93,Verkhoshizhemye,RU,2021-09-21 16:13:51,58.011,49.1038,39.94,78,100,6.69
94,Nome,US,2021-09-21 16:12:51,64.5011,-165.4064,29.05,78,100,5.32
95,Itoman,JP,2021-09-21 16:13:52,26.1247,127.6694,81.39,77,0,6.82
96,Gorontalo,ID,2021-09-21 16:13:52,0.5412,123.0595,74.77,98,100,2.21
97,Vila Velha,BR,2021-09-21 16:08:56,-20.3297,-40.2925,85.46,60,0,11.7
98,Flinders,AU,2021-09-21 16:13:52,-34.5833,150.8552,50.81,72,28,10.56
99,Hermanus,ZA,2021-09-21 16:13:53,-34.4187,19.2345,60.8,65,48,15.39
100,Grindavik,IS,2021-09-21 16:13:53,63.8424,-22.4338,43.68,78,100,39.19
101,Bambous Virieux,MU,2021-09-21 16:13:53,-20.3428,57.7575,70.21,68,38,14.14
102,Sitka,US,2021-09-21 16:13:54,57.0531,-135.33,52.48,95,100,5.99
103,Necochea,AR,2021-09-21 16:13:54,-38.5473,-58.7368,60.04,50,0,5.1
104,Tuktoyaktuk,CA,2021-09-21 16:13:54,69.4541,-133.0374,34.99,73,100,21.85
105,Provideniya,RU,2021-09-21 16:13:55,64.3833,-173.3,33.46,88,100,12.01
106,Leland,US,2021-09-21 16:13:55,34.2563,-78.0447,82.04,89,91,10.89
107,Mar Del Plata,AR,2021-09-21 16:13:55,-38.0023,-57.5575,55.06,55,0,8.43
108,Gao,ML,2021-09-21 16:13:56,16.6362,1.637,103.98,13,37,3.27
109,Kurilsk,RU,2021-09-21 16:12:18,45.2333,147.8833,56.48,95,92,9.1
110,Scarborough,GB,2021-09-21 16:12:18,54.2797,-0.4044,71.78,53,79,1.99
111,Dikson,RU,2021-09-21 16:13:56,73.5069,80.5464,33.76,75,93,3.78
112,Paita,PE,2021-09-21 16:13:57,-5.0892,-81.1144,75.76,70,36,13.44
113,Inirida,CO,2021-09-21 16:13:57,3.8653,-67.9239,76.33,93,100,2.84
114,Fukue,JP,2021-09-21 16:13:58,32.6881,128.8419,76.23,79,73,11.12
115,Mangan,IN,2021-09-21 16:13:58,27.5167,88.5333,73.2,86,67,3.18
116,Cherskiy,RU,2021-09-21 16:13:58,68.75,161.3,25.79,74,82,3.53
117,Constitucion,CL,2021-09-21 16:13:47,-35.3333,-72.4167,58.89,61,0,9.95
118,Bandarbeyla,SO,2021-09-21 16:13:59,9.4942,50.8122,77.52,81,99,28.68
119,Tautira,PF,2021-09-21 16:13:59,-17.7333,-149.15,71.62,75,17,10.45
120,Formiga,BR,2021-09-21 16:13:59,-20.4644,-45.4264,96.93,18,67,4.21
121,Santo Domingo,DO,2021-09-21 16:10:00,18.5001,-69.9886,90.03,68,60,5.01
122,Lompoc,US,2021-09-21 16:09:58,34.6391,-120.4579,73.0,64,0,3.11
123,Verkh-Usugli,RU,2021-09-21 16:12:12,52.7,115.1667,48.85,89,98,1.66
124,Ciudad Bolivar,VE,2021-09-21 16:14:00,8.1222,-63.5497,89.13,56,95,8.21
125,Airai,TL,2021-09-21 16:14:00,-8.9266,125.4092,59.86,80,98,3.27
126,Port-Gentil,GA,2021-09-21 16:14:01,-0.7193,8.7815,77.31,83,99,17.92
127,Naryan-Mar,RU,2021-09-21 16:14:01,67.6713,53.087,39.4,84,82,8.41
128,Kununurra,AU,2021-09-21 16:14:02,-15.7667,128.7333,85.98,19,100,13.8
129,Innisfail,AU,2021-09-21 16:14:02,-17.5333,146.0333,65.48,45,28,8.12
130,Berlevag,NO,2021-09-21 16:14:02,70.8578,29.0864,43.63,67,2,27.69
131,Newport,GB,2021-09-21 16:14:03,51.5877,-2.9984,72.12,67,100,6.35
132,Chokurdakh,RU,2021-09-21 16:14:03,70.6333,147.9167,29.95,62,100,8.05
133,Busselton,AU,2021-09-21 16:14:04,-33.65,115.3333,52.09,71,0,4.54
134,Anadyr,RU,2021-09-21 16:14:04,64.75,177.4833,34.63,99,100,2.37
135,Puerto Ayora,EC,2021-09-21 16:14:04,-0.7393,-90.3518,73.54,78,86,8.01
136,Turukhansk,RU,2021-09-21 16:14:05,65.8167,87.9833,38.86,83,100,7.67
137,Aksu,CN,2021-09-21 16:14:05,41.1231,80.2644,75.79,20,0,3.33
138,Amsterdam,NL,2021-09-21 16:14:05,52.374,4.8897,66.88,71,98,1.99
139,Hambantota,LK,2021-09-21 16:14:06,6.1241,81.1185,80.82,80,12,15.88
140,Baykit,RU,2021-09-21 16:14:06,61.67,96.37,37.6,99,100,3.09
141,Sobolevo,RU,2021-09-21 16:14:06,54.4299,31.8996,41.67,98,100,10.4
142,Soyo,AO,2021-09-21 16:14:07,-6.1349,12.3689,77.31,79,25,10.36
143,Bethel,US,2021-09-21 16:14:07,41.3712,-73.414,73.11,73,28,1.01
144,Green Valley,US,2021-09-21 16:14:07,31.8543,-110.9937,86.63,31,0,1.74
145,Payakumbuh,ID,2021-09-21 16:14:08,-0.2202,100.6308,70.57,97,100,3.13
146,Havre-Saint-Pierre,CA,2021-09-21 16:14:08,50.2334,-63.5986,57.52,73,52,11.21
147,Severnyy-Kospashskiy,RU,2021-09-21 16:14:08,59.0925,57.8008,34.61,73,94,4.12
148,Saint-Philippe,RE,2021-09-21 16:14:09,-21.3585,55.7679,67.21,72,40,10.63
149,Koungou,YT,2021-09-21 16:14:09,-12.7336,45.2042,77.54,75,78,1.83
