City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
324,Gadwal,IN,73.94,overcast clouds,16.2333,77.8,MS RESIDENCY
325,Takoradi,GH,76.08,overcast clouds,4.8845,-1.7554,Raybow International Hotel
330,Solanea,BR,69.67,few clouds,-6.755,-35.54,Herus Motel
335,Puerto Maldonado,PE,78.44,overcast clouds,-12.6,-69.1833,Wasai Hotel
339,Matara,LK,77.92,few clouds,5.9485,80.5353,Amaloh Boutique Resort
340,Sun Valley,US,79.75,smoke,39.5963,-119.776,Panther Valley RV Park
346,Maragogi,BR,76.35,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
354,Lethem,GY,77.9,overcast clouds,3.3803,-59.7968,Savannah Inn
358,Farafangana,MG,69.78,broken clouds,-22.8167,47.8333,Miarina
362,Amahai,ID,79.95,light rain,-3.3333,128.9167,HOTEL ISABELA
365,Catonsville,US,74.86,light rain,39.272,-76.7319,Quality Inn Near Baltimore
370,Galle,LK,79.09,scattered clouds,6.0367,80.217,Amangalla
373,Gaya,IN,76.68,broken clouds,24.7833,85.0,SPOT ON 61644 Hotel Kumar Kripa
374,Kiama,AU,75.38,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
375,Nelson Bay,AU,75.29,clear sky,-32.7167,152.15,Mantra Nelson Bay
378,Conde,BR,76.46,few clouds,-7.2597,-34.9075,Pousada Beija Flor
379,Tuy Hoa,VN,74.77,heavy intensity rain,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
381,Monrovia,LR,77.13,moderate rain,6.3005,-10.7969,Sunset Inn
388,Palmi,IT,70.88,few clouds,38.3653,15.8615,Hotel Residence Arcobaleno
393,Muisne,EC,73.92,overcast clouds,0.6,-80.0333,Quinta Samay
394,Lucapa,AO,70.05,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
395,Serra,BR,69.26,broken clouds,-20.1286,-40.3078,Interior do Estado do Espirito Santo
396,Vao,NC,68.86,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
397,Laramie,US,65.08,clear sky,41.3114,-105.5911,Fairfield Inn & Suites by Marriott Laramie
400,Harrisburg,US,75.49,overcast clouds,40.2737,-76.8844,Hilton Harrisburg
402,Havelock,US,78.94,overcast clouds,34.8791,-76.9013,Sherwood Motel
409,Mount Isa,AU,76.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
411,Mvomero,TZ,69.1,scattered clouds,-6.25,38.6667,Kisampa Bush Retreat
412,Fenoarivo Atsinanana,MG,68.68,broken clouds,-17.3667,49.4167,L'Oasis Lodge
414,Rabo De Peixe,PT,65.71,few clouds,37.8,-25.5833,Quinta das Giestas
419,Trincomalee,LK,79.56,scattered clouds,8.5711,81.2335,Welcombe Hotel
426,Puerto Palomas,MX,79.93,overcast clouds,31.7667,-107.6167,Hotel San Carlos
429,Sterling,US,73.98,overcast clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
437,Brigantine,US,75.4,few clouds,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
440,Dingli,MT,73.81,few clouds,35.8614,14.3822,The Xara Palace Relais & Chateaux
443,Kapoeta,SS,75.9,broken clouds,4.7717,33.5903,Eastgate Hotel
464,Kloulklubed,PW,77.5,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
466,Brownsville,US,75.18,broken clouds,25.9018,-97.4975,University Inn & Suites
474,Riyadh,SA,75.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
475,Ahmadpur,IN,71.73,overcast clouds,18.7,76.9333,Hengane (Pitashri Niwas)
477,Kalaleh,IR,73.96,clear sky,37.3807,55.4916,عطر و ادکلن پارسیس
478,Tura,IN,73.13,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
480,Toki,JP,75.09,clear sky,35.35,137.1833,Hotel Route Inn
482,Los Llanos De Aridane,ES,69.55,clear sky,28.6585,-17.9182,Valle Aridane
483,Kaihua,CN,66.96,scattered clouds,23.3687,104.28,Zhongyu Hotel
486,Biak,ID,79.32,broken clouds,-0.9131,122.8766,Penginapan Kim
493,Zhangjiakou,CN,65.03,clear sky,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
506,Velingara,SN,76.01,light rain,13.15,-14.1167,Hotel Najla
511,Inirida,CO,74.3,moderate rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
513,Bowen,AU,73.47,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
519,Chiang Klang,TH,76.33,overcast clouds,19.2938,100.8617,Sangthong Resort
520,Puerto Del Rosario,ES,71.35,overcast clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
521,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
523,Carleton Place,CA,67.75,overcast clouds,45.1334,-76.1494,Barons Motor Inn
526,Ponta Delgada,PT,66.92,few clouds,37.7333,-25.6667,Vila Nova Hotel
528,Shache,CN,66.38,clear sky,38.4167,77.2406,Delong Hotel
532,Vilhena,BR,78.89,clear sky,-12.7406,-60.1458,Hotel Mirage
534,Port-Gentil,GA,78.84,overcast clouds,-0.7193,8.7815,Fengshui Residence
535,Phan Thiet,VN,76.95,overcast clouds,10.9333,108.1,Hotel Saigon-PT
536,Mogadishu,SO,77.09,scattered clouds,2.0371,45.3438,Hotel Juba
537,Port Augusta,AU,71.74,clear sky,-32.5,137.7667,Majestic Oasis Apartments
540,Ulladulla,AU,71.1,clear sky,-35.35,150.4667,Sandpiper Motel
542,Marsa Matruh,EG,75.4,clear sky,31.3525,27.2453,Beau Site
552,Hami,CN,66.31,clear sky,42.8,93.45,Laoyutang Resort
553,Swift Current,CA,68.81,clear sky,50.2834,-107.8014,"Motel 6 Swift Current, SK"
554,Praia Da Vitoria,PT,70.05,scattered clouds,38.7333,-27.0667,Hotel Branco I
555,Saurimo,AO,65.95,overcast clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
556,Ayotzintepec,MX,72.88,overcast clouds,17.6667,-96.1333,"Hotel ""Punta del Cerro"""
557,Lewistown,US,73.94,light rain,40.5992,-77.5714,Quality Inn & Suites
558,Great Falls,US,74.66,clear sky,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
559,Mengcheng,CN,79.21,light rain,33.2579,116.5655,Jinliang Hotel
563,Shaunavon,CA,69.58,few clouds,49.6501,-108.4181,Bear's Den Lodge
565,Marawi,PH,71.65,scattered clouds,7.9986,124.2928,Derogongan Residence
567,Jambi,ID,79.39,light rain,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
572,Yeppoon,AU,74.98,clear sky,-23.1333,150.7333,Villa Mar Colina
573,Bozeman,US,72.82,clear sky,45.6796,-111.0386,Homewood Suites by Hilton Bozeman
581,Portland,US,70.52,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
584,Sassandra,CI,75.54,overcast clouds,4.95,-6.0833,la terrasse
588,Kapit,MY,79.7,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
589,Kontagora,NG,71.04,light rain,10.3999,5.4695,Queens Guest Inn
591,Harper,LR,77.2,light rain,4.375,-7.7169,Screensaver
592,Lincoln,US,65.28,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
598,Faanui,PF,77.2,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
600,Civitavecchia,IT,67.82,clear sky,42.0933,11.7967,Hotel Mediterraneo
601,Tam Ky,VN,78.78,heavy intensity rain,15.5667,108.4833,Khách Sạn Đông Á
603,Mountain Home,US,77.74,broken clouds,43.133,-115.6912,Mountain Home Inn
607,Mackay,AU,73.04,overcast clouds,-21.15,149.2,International Lodge Motel
609,Cooma,AU,66.56,clear sky,-36.2333,149.1333,High Country Motel
610,Mayo,US,77.11,broken clouds,38.8876,-76.5119,Resorts Resource Group International
612,Agua Dulce,MX,79.0,overcast clouds,18.1333,-94.1333,Hotel Victoria
613,Euclides Da Cunha,BR,70.56,overcast clouds,-10.5075,-39.0158,Hotel e Posto Bastos
615,Homestead,US,79.02,overcast clouds,25.4687,-80.4776,Travelodge by Wyndham Florida City/Homestead/Everglades
616,Vaitape,PF,77.14,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
617,Nador,MA,71.67,overcast clouds,35.174,-2.9287,Hôtel La Giralda
621,Rockhampton,AU,75.09,clear sky,-23.3833,150.5,Mercure Rockhampton
626,Jaranwala,PK,76.96,clear sky,31.3333,73.4333,Dera Syed Sibt e Hassan
628,Portobelo,PA,75.61,overcast clouds,9.55,-79.65,Scuba Portobelo
642,Camacha,PT,69.22,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
643,Sydney,AU,77.61,clear sky,-33.8679,151.2073,The Grace Sydney
648,Kishanpur,IN,77.0,clear sky,25.65,81.0167,store
650,Mont-Dore,NC,78.78,scattered clouds,-22.2833,166.5833,GIte
651,Coruripe,BR,76.93,light rain,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
657,Sungaipenuh,ID,69.69,heavy intensity rain,-2.0833,101.3833,Hotel Jaya Wisata 2
658,Mumford,GH,76.5,overcast clouds,5.2618,-0.759,Spanish Villa
662,Wilmington,US,79.86,few clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
664,Makrana,IN,76.33,broken clouds,27.05,74.7167,Ganpati Guest House
667,Mahon,ES,73.96,broken clouds,39.8885,4.2658,ARTIEM Capri
669,Maturin,VE,74.77,clear sky,9.75,-63.1767,Hotel Residencial La Pichincha
678,Estelle,US,75.99,scattered clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
681,Mayumba,GA,75.43,overcast clouds,-3.432,10.6554,LIKWALE LODGE
684,Fort Worth,US,76.37,clear sky,32.7254,-97.3208,Hilton Fort Worth
